Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Bad Boys for Life,425514702,204417855,221096847,2020.csv,2020,0.48040139163041184,0.5195986083695882
2,Sonic the Hedgehog,306766470,146066470,160700000,2020.csv,2020,0.47614874598257106,0.5238512540174289
3,Dolittle,227908130,77047065,150861065,2020.csv,2020,0.3380619418886022,0.6619380581113978
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,201858461,84158461,117700000,2020.csv,2020,0.41691817416561006,0.5830818258343899
5,The Invisible Man,124549496,64914050,59635446,2020.csv,2020,0.521190788279063,0.47880921172093704
6,The Gentlemen,117769345,36296853,81472492,2020.csv,2020,0.3082028943949718,0.6917971056050282
7,The Call of the Wild,107604626,62342368,45262258,2020.csv,2020,0.579365128781731,0.420634871218269
8,The Grudge,49511319,21221803,28289516,2020.csv,2020,0.4286252806151256,0.5713747193848744
9,Fantasy Island,48607556,26441782,22165774,2020.csv,2020,0.5439850133588284,0.45601498664117157
10,Underwater,40882928,17291078,23591850,2020.csv,2020,0.4229412824834855,0.5770587175165145
